code,name,price_field,window_days,include_equal,window_start,last_date,last_price,prior_max,window_max,last_high,last_close
688101,三达膜,high,20,false,2025-12-18,2026-01-16,18.3800,18.0800,18.3800,18.3800,18.2000
688381,帝奥微,high,20,false,2025-12-23,2026-01-21,25.5200,25.4900,25.5200,25.5200,25.4300
688458,美芯晟,high,20,false,2025-12-23,2026-01-21,43.5600,43.3900,43.5600,43.5600,43.2600
688395,正弦电气,high,20,false,2025-12-23,2026-01-21,26.6800,26.4700,26.6800,26.6800,26.6400
688191,智洋创新,high,20,false,2025-12-18,2026-01-16,38.4900,37.8000,38.4900,38.4900,36.8800
688267,中触媒,high,20,false,2025-12-23,2026-01-21,31.6400,30.5000,31.6400,31.6400,31.6400
688309,恒誉环保,high,20,false,2025-12-23,2026-01-21,29.2800,28.6000,29.2800,29.2800,28.5200
688786,悦安新材,high,20,false,2025-12-23,2026-01-21,32.5000,31.6800,32.5000,32.5000,32.0000
688084,晶品特装,high,20,false,2025-12-18,2026-01-16,104.4900,102.0000,104.4900,104.4900,101.0600
688355,明志科技,high,20,false,2025-12-23,2026-01-21,19.9800,19.9600,19.9800,19.9800,19.9300
688516,奥特维,high,20,false,2025-12-23,2026-01-21,69.5800,68.9900,69.5800,69.5800,65.5600
688593,新相微,high,20,false,2025-12-23,2026-01-21,23.9800,23.8700,23.9800,23.9800,23.6100
688227,品高股份,high,20,false,2025-12-18,2026-01-16,93.3800,88.4500,93.3800,93.3800,86.4500
688300,联瑞新材,high,20,false,2025-12-23,2026-01-21,72.9000,71.2900,72.9000,72.9000,72.0000
688545,兴福电子,high,20,false,2025-12-23,2026-01-21,49.9400,48.6100,49.9400,49.9400,48.5300
688372,伟测科技,high,20,false,2025-12-23,2026-01-21,145.9900,143.8700,145.9900,145.9900,145.8000
688112,鼎阳科技,high,20,false,2025-12-18,2026-01-16,41.6000,40.5200,41.6000,41.6000,41.4300
688163,赛伦生物,high,20,false,2025-12-18,2026-01-16,24.8600,24.7400,24.8600,24.8600,24.7000
688403,汇成股份,high,20,false,2025-12-23,2026-01-21,23.4200,23.3500,23.4200,23.4200,22.9100
688125,安达智能,high,20,false,2025-12-18,2026-01-16,188.0000,180.0000,188.0000,188.0000,171.3600
688280,精进电动-UW,high,20,false,2025-12-23,2026-01-21,9.5500,9.3800,9.5500,9.5500,9.5500
688021,奥福科技,high,20,false,2025-12-18,2026-01-16,20.6600,20.5800,20.6600,20.6600,20.1100
688510,航亚科技,high,20,false,2025-12-23,2026-01-21,39.6700,39.5000,39.6700,39.6700,36.9000
688469,芯联集成-U,high,20,false,2025-12-23,2026-01-21,7.2800,7.1900,7.2800,7.2800,7.2000
688508,芯朋微,high,20,false,2025-12-23,2026-01-21,67.7500,66.8000,67.7500,67.7500,67.5700
688003,天准科技,high,20,false,2025-12-18,2026-01-16,69.8700,69.3300,69.8700,69.8700,67.5400
688419,耐科装备,high,20,false,2025-12-23,2026-01-21,43.6000,42.9500,43.6000,43.6000,41.9300
688147,微导纳米,high,20,false,2025-12-18,2026-01-16,81.2700,76.9800,81.2700,81.2700,79.5000
688257,新锐股份,high,20,false,2025-12-23,2026-01-21,54.5500,50.3800,54.5500,54.5500,54.4200
688525,佰维存储,high,20,false,2025-12-23,2026-01-21,199.3800,193.3800,199.3800,199.3800,190.3600
688557,兰剑智能,high,20,false,2025-12-23,2026-01-21,42.4900,42.3200,42.4900,42.4900,42.1300
688059,华锐精密,high,20,false,2025-12-18,2026-01-16,92.6000,89.6600,92.6000,92.6000,90.3000
688130,晶华微,high,20,false,2025-12-18,2026-01-16,23.6600,23.5700,23.6600,23.6600,23.5400
688367,工大高科,high,20,false,2025-12-23,2026-01-21,36.6600,34.3000,36.6600,36.6600,36.1300
688630,芯碁微装,high,20,false,2025-12-23,2026-01-21,201.1400,183.6500,201.1400,201.1400,194.8800
688082,盛美上海,high,20,false,2025-12-18,2026-01-16,218.4900,204.7800,218.4900,218.4900,211.3200
688022,瀚川智能,high,20,false,2025-12-18,2026-01-16,16.5000,16.4800,16.5000,16.5000,16.3400
688699,明微电子,high,20,false,2025-12-23,2026-01-21,49.4800,49.3600,49.4800,49.4800,49.1000
