code,name,market,secid,updated_at
688680,海优新材,1,1.688680,2026-01-20 20:43:31
688679,通源环境,1,1.688679,2026-01-20 20:43:31
688678,福立旺,1,1.688678,2026-01-20 20:43:31
688677,海泰新光,1,1.688677,2026-01-20 20:43:31
688676,金盘科技,1,1.688676,2026-01-20 20:43:31
688671,碧兴物联,1,1.688671,2026-01-20 20:43:31
688670,金迪克,1,1.688670,2026-01-20 20:43:31
688669,聚石化学,1,1.688669,2026-01-20 20:43:31
688668,鼎通科技,1,1.688668,2026-01-20 20:43:31
688667,菱电电控,1,1.688667,2026-01-20 20:43:31
688665,四方光电,1,1.688665,2026-01-20 20:43:31
688663,新风光,1,1.688663,2026-01-20 20:43:31
688662,富信科技,1,1.688662,2026-01-20 20:43:31
688661,和林微纳,1,1.688661,2026-01-20 20:43:31
688660,电气风电,1,1.688660,2026-01-20 20:43:31
688659,元琛科技,1,1.688659,2026-01-20 20:43:31
688658,悦康药业,1,1.688658,2026-01-20 20:43:31
688657,浩辰软件,1,1.688657,2026-01-20 20:43:31
688656,浩欧博,1,1.688656,2026-01-20 20:43:31
688655,迅捷兴,1,1.688655,2026-01-20 20:43:31
688653,康希通信,1,1.688653,2026-01-20 20:43:31
688652,京仪装备,1,1.688652,2026-01-20 20:43:31
688651,盛邦安全,1,1.688651,2026-01-20 20:43:31
688648,中邮科技,1,1.688648,2026-01-20 20:43:31
688646,ST逸飞,1,1.688646,2026-01-20 20:43:31
688639,华恒生物,1,1.688639,2026-01-20 20:43:31
688638,誉辰智能,1,1.688638,2026-01-20 20:43:31
688636,智明达,1,1.688636,2026-01-20 20:43:31
688633,星球石墨,1,1.688633,2026-01-20 20:43:31
688631,莱斯信息,1,1.688631,2026-01-20 20:43:31
688630,芯碁微装,1,1.688630,2026-01-20 20:43:31
688629,华丰科技,1,1.688629,2026-01-20 20:43:31
688628,优利德,1,1.688628,2026-01-20 20:43:31
688627,精智达,1,1.688627,2026-01-20 20:43:31
688626,翔宇医疗,1,1.688626,2026-01-20 20:43:31
688625,呈和科技,1,1.688625,2026-01-20 20:43:31
688623,双元科技,1,1.688623,2026-01-20 20:43:31
688622,禾信仪器,1,1.688622,2026-01-20 20:43:31
688621,阳光诺和,1,1.688621,2026-01-20 20:43:31
688620,安凯微,1,1.688620,2026-01-20 20:43:31
688619,罗普特,1,1.688619,2026-01-20 20:43:31
688618,三旺通信,1,1.688618,2026-01-20 20:43:31
688617,惠泰医疗,1,1.688617,2026-01-20 20:43:31
688616,西力科技,1,1.688616,2026-01-20 20:43:31
688615,合合信息,1,1.688615,2026-01-20 20:43:31
688613,奥精医疗,1,1.688613,2026-01-20 20:43:31
688612,威迈斯,1,1.688612,2026-01-20 20:43:31
688611,杭州柯林,1,1.688611,2026-01-20 20:43:31
688610,埃科光电,1,1.688610,2026-01-20 20:43:31
688609,九联科技,1,1.688609,2026-01-20 20:43:31
688608,恒玄科技,1,1.688608,2026-01-20 20:43:31
688607,康众医疗,1,1.688607,2026-01-20 20:43:31
688606,奥泰生物,1,1.688606,2026-01-20 20:43:31
688605,先锋精科,1,1.688605,2026-01-20 20:43:31
688603,天承科技,1,1.688603,2026-01-20 20:43:31
688602,康鹏科技,1,1.688602,2026-01-20 20:43:31
688601,力芯微,1,1.688601,2026-01-20 20:43:31
688600,皖仪科技,1,1.688600,2026-01-20 20:43:31
688599,天合光能,1,1.688599,2026-01-20 20:43:31
688598,金博股份,1,1.688598,2026-01-20 20:43:31
688597,煜邦电力,1,1.688597,2026-01-20 20:43:31
688596,正帆科技,1,1.688596,2026-01-20 20:43:31
688595,芯海科技,1,1.688595,2026-01-20 20:43:31
688593,新相微,1,1.688593,2026-01-20 20:43:31
688592,司南导航,1,1.688592,2026-01-20 20:43:31
688591,泰凌微,1,1.688591,2026-01-20 20:43:31
688590,新致软件,1,1.688590,2026-01-20 20:43:31
688589,力合微,1,1.688589,2026-01-20 20:43:31
688588,凌志软件,1,1.688588,2026-01-20 20:43:31
688586,江航装备,1,1.688586,2026-01-20 20:43:31
688585,上纬新材,1,1.688585,2026-01-20 20:43:31
688584,上海合晶,1,1.688584,2026-01-20 20:43:31
688583,思看科技,1,1.688583,2026-01-20 20:43:31
688582,芯动联科,1,1.688582,2026-01-20 20:43:31
688581,安杰思,1,1.688581,2026-01-20 20:43:31
688580,伟思医疗,1,1.688580,2026-01-20 20:43:31
688579,山大地纬,1,1.688579,2026-01-20 20:43:31
688578,艾力斯,1,1.688578,2026-01-20 20:43:31
688577,浙海德曼,1,1.688577,2026-01-20 20:43:31
688576,西山科技,1,1.688576,2026-01-20 20:43:31
688575,亚辉龙,1,1.688575,2026-01-20 20:43:31
688573,信宇人,1,1.688573,2026-01-20 20:43:31
688571,杭华股份,1,1.688571,2026-01-20 20:43:31
688570,天玛智控,1,1.688570,2026-01-20 20:43:31
688569,铁科轨道,1,1.688569,2026-01-20 20:43:31
688568,中科星图,1,1.688568,2026-01-20 20:43:31
688567,孚能科技,1,1.688567,2026-01-20 20:43:31
688566,吉贝尔,1,1.688566,2026-01-20 20:43:31
688565,力源科技,1,1.688565,2026-01-20 20:43:31
688563,航材股份,1,1.688563,2026-01-20 20:43:31
688562,航天软件,1,1.688562,2026-01-20 20:43:31
688561,奇安信-U,1,1.688561,2026-01-20 20:43:31
688560,明冠新材,1,1.688560,2026-01-20 20:43:31
688559,海目星,1,1.688559,2026-01-20 20:43:31
688558,国盛智科,1,1.688558,2026-01-20 20:43:31
688557,兰剑智能,1,1.688557,2026-01-20 20:43:31
688556,高测股份,1,1.688556,2026-01-20 20:43:31
688555,退市泽达,1,1.688555,2026-01-20 20:43:31
688553,汇宇制药-W,1,1.688553,2026-01-20 20:43:31
688552,航天南湖,1,1.688552,2026-01-20 20:43:31
688551,科威尔,1,1.688551,2026-01-20 20:43:31
688550,瑞联新材,1,1.688550,2026-01-20 20:43:31
688549,中巨芯-U,1,1.688549,2026-01-20 20:43:31
688548,广钢气体,1,1.688548,2026-01-20 20:43:31
688545,兴福电子,1,1.688545,2026-01-20 20:43:31
688543,国科军工,1,1.688543,2026-01-20 20:43:31
688539,高华科技,1,1.688539,2026-01-20 20:43:31
688538,和辉光电-U,1,1.688538,2026-01-20 20:43:31
688536,思瑞浦,1,1.688536,2026-01-20 20:43:31
688535,华海诚科,1,1.688535,2026-01-20 20:43:31
688533,上声电子,1,1.688533,2026-01-20 20:43:31
688531,日联科技,1,1.688531,2026-01-20 20:43:31
688530,欧莱新材,1,1.688530,2026-01-20 20:43:31
688529,豪森智能,1,1.688529,2026-01-20 20:43:31
688528,秦川物联,1,1.688528,2026-01-20 20:43:31
688526,科前生物,1,1.688526,2026-01-20 20:43:31
688525,佰维存储,1,1.688525,2026-01-20 20:43:31
688523,航天环宇,1,1.688523,2026-01-20 20:43:31
688522,纳睿雷达,1,1.688522,2026-01-20 20:43:31
688521,芯原股份,1,1.688521,2026-01-20 20:43:31
688520,神州细胞,1,1.688520,2026-01-20 20:43:31
688519,南亚新材,1,1.688519,2026-01-20 20:43:31
688518,联赢激光,1,1.688518,2026-01-20 20:43:31
688517,金冠电气,1,1.688517,2026-01-20 20:43:31
688516,奥特维,1,1.688516,2026-01-20 20:43:31
688515,裕太微-U,1,1.688515,2026-01-20 20:43:31
688513,苑东生物,1,1.688513,2026-01-20 20:43:31
688512,慧智微-U,1,1.688512,2026-01-20 20:43:31
688511,*ST天微,1,1.688511,2026-01-20 20:43:31
688510,航亚科技,1,1.688510,2026-01-20 20:43:31
688509,正元地信,1,1.688509,2026-01-20 20:43:31
688508,芯朋微,1,1.688508,2026-01-20 20:43:31
688507,索辰科技,1,1.688507,2026-01-20 20:43:31
688506,百利天恒,1,1.688506,2026-01-20 20:43:31
688505,复旦张江,1,1.688505,2026-01-20 20:43:31
688503,聚和材料,1,1.688503,2026-01-20 20:43:31
688502,茂莱光学,1,1.688502,2026-01-20 20:43:31
688501,青达环保,1,1.688501,2026-01-20 20:43:31
688500,慧辰股份,1,1.688500,2026-01-20 20:43:31
688499,利元亨,1,1.688499,2026-01-20 20:43:31
688498,源杰科技,1,1.688498,2026-01-20 20:43:31
688496,清越科技,1,1.688496,2026-01-20 20:43:31
688489,三未信安,1,1.688489,2026-01-20 20:43:31
688488,艾迪药业,1,1.688488,2026-01-20 20:43:31
688486,龙迅股份,1,1.688486,2026-01-20 20:43:31
688485,九州一轨,1,1.688485,2026-01-20 20:43:31
688484,南芯科技,1,1.688484,2026-01-20 20:43:31
688480,赛恩斯,1,1.688480,2026-01-20 20:43:31
688479,友车科技,1,1.688479,2026-01-20 20:43:31
688478,晶升股份,1,1.688478,2026-01-20 20:43:31
688475,萤石网络,1,1.688475,2026-01-20 20:43:31
688472,阿特斯,1,1.688472,2026-01-20 20:43:31
688469,芯联集成-U,1,1.688469,2026-01-20 20:43:31
688468,科美诊断,1,1.688468,2026-01-20 20:43:31
688466,金科环境,1,1.688466,2026-01-20 20:43:31
688459,哈铁科技,1,1.688459,2026-01-20 20:43:31
688458,美芯晟,1,1.688458,2026-01-20 20:43:31
688456,有研粉材,1,1.688456,2026-01-20 20:43:31
688455,科捷智能,1,1.688455,2026-01-20 20:43:31
688450,光格科技,1,1.688450,2026-01-20 20:43:31
688449,联芸科技,1,1.688449,2026-01-20 20:43:31
688448,磁谷科技,1,1.688448,2026-01-20 20:43:31
688443,智翔金泰-U,1,1.688443,2026-01-20 20:43:31
688439,振华风光,1,1.688439,2026-01-20 20:43:31
688435,英方软件,1,1.688435,2026-01-20 20:43:31
688433,华曙高科,1,1.688433,2026-01-20 20:43:31
688432,有研硅,1,1.688432,2026-01-20 20:43:31
688429,时创能源,1,1.688429,2026-01-20 20:43:31
688428,诺诚健华-U,1,1.688428,2026-01-20 20:43:31
688426,康为世纪,1,1.688426,2026-01-20 20:43:31
688425,铁建重工,1,1.688425,2026-01-20 20:43:31
688420,美腾科技,1,1.688420,2026-01-20 20:43:31
688419,耐科装备,1,1.688419,2026-01-20 20:43:31
688418,震有科技,1,1.688418,2026-01-20 20:43:31
688416,恒烁股份,1,1.688416,2026-01-20 20:43:31
688411,海博思创,1,1.688411,2026-01-20 20:43:31
688410,山外山,1,1.688410,2026-01-20 20:43:31
688409,富创精密,1,1.688409,2026-01-20 20:43:31
688408,中信博,1,1.688408,2026-01-20 20:43:31
688403,汇成股份,1,1.688403,2026-01-20 20:43:31
688401,路维光电,1,1.688401,2026-01-20 20:43:31
688400,凌云光,1,1.688400,2026-01-20 20:43:31
688399,硕世生物,1,1.688399,2026-01-20 20:43:31
688398,赛特新材,1,1.688398,2026-01-20 20:43:31
688396,华润微,1,1.688396,2026-01-20 20:43:31
688395,正弦电气,1,1.688395,2026-01-20 20:43:31
688393,安必平,1,1.688393,2026-01-20 20:43:31
688392,骄成超声,1,1.688392,2026-01-20 20:43:31
688391,钜泉科技,1,1.688391,2026-01-20 20:43:31
688390,固德威,1,1.688390,2026-01-20 20:43:31
688389,普门科技,1,1.688389,2026-01-20 20:43:31
688388,嘉元科技,1,1.688388,2026-01-20 20:43:31
688387,信科移动-U,1,1.688387,2026-01-20 20:43:31
688386,泛亚微透,1,1.688386,2026-01-20 20:43:31
688385,复旦微电,1,1.688385,2026-01-20 20:43:31
688383,新益昌,1,1.688383,2026-01-20 20:43:31
688382,益方生物-U,1,1.688382,2026-01-20 20:43:31
688381,帝奥微,1,1.688381,2026-01-20 20:43:31
688380,中微半导,1,1.688380,2026-01-20 20:43:31
688379,华光新材,1,1.688379,2026-01-20 20:43:31
688378,奥来德,1,1.688378,2026-01-20 20:43:31
688377,迪威尔,1,1.688377,2026-01-20 20:43:31
688376,美埃科技,1,1.688376,2026-01-20 20:43:31
688375,国博电子,1,1.688375,2026-01-20 20:43:31
688373,盟科药业-U,1,1.688373,2026-01-20 20:43:31
688372,伟测科技,1,1.688372,2026-01-20 20:43:31
688371,菲沃泰,1,1.688371,2026-01-20 20:43:31
688370,丛麟科技,1,1.688370,2026-01-20 20:43:31
688369,致远互联,1,1.688369,2026-01-20 20:43:31
688368,晶丰明源,1,1.688368,2026-01-20 20:43:31
688367,工大高科,1,1.688367,2026-01-20 20:43:31
688366,昊海生科,1,1.688366,2026-01-20 20:43:31
688365,光云科技,1,1.688365,2026-01-20 20:43:31
688363,华熙生物,1,1.688363,2026-01-20 20:43:31
688362,甬矽电子,1,1.688362,2026-01-20 20:43:31
688361,中科飞测,1,1.688361,2026-01-20 20:43:31
688360,德马科技,1,1.688360,2026-01-20 20:43:31
688359,三孚新科,1,1.688359,2026-01-20 20:43:31
688358,祥生医疗,1,1.688358,2026-01-20 20:43:31
688357,建龙微纳,1,1.688357,2026-01-20 20:43:31
688356,键凯科技,1,1.688356,2026-01-20 20:43:31
688355,明志科技,1,1.688355,2026-01-20 20:43:31
688353,华盛锂电,1,1.688353,2026-01-20 20:43:31
688352,颀中科技,1,1.688352,2026-01-20 20:43:31
688351,微电生理,1,1.688351,2026-01-20 20:43:31
688350,富淼科技,1,1.688350,2026-01-20 20:43:31
688349,三一重能,1,1.688349,2026-01-20 20:43:31
